BIN,KWH/M2
1000873,514.1982908
1000874,179.8116723
1000875,179.8116723
1000876,179.8116723
1000877,179.8116723
1000878,179.8116723
1000879,179.8116723
1000880,179.8116723
1000881,514.1982908
1000882,200
1000883,200
1000884,217.6667612
1001003,217.6667612
1001004,179.8116723
1001005,179.8116723
1001006,514.1982908
1001007,217.6667612
1001008,514.1982908
1001009,217.6667612
1001010,217.6667612
1001011,217.6667612
1001012,200
1001013,179.8116723
1001014,253.155907
1001015,179.8116723
1001016,179.8116723
1001017,179.8116723
1001018,179.8116723
1001019,179.8116723
1001020,200
1001021,179.8116723
1001022,217.6667612
1001023,179.8116723
1001024,179.8116723
1001025,179.8116723
1001026,217.6667612
1001027,179.8116723
1001028,200
1001029,179.8116723
1001030,179.8116723
1001031,179.8116723
1001032,179.8116723
1001033,179.8116723
1001035,246.0580778
1001036,179.8116723
1001037,246.0580778
1001038,217.6667612
1001039,324.1341987
1001040,253.155907
1001041,217.6667612
1001042,217.6667612
1001043,217.6667612
1001045,324.1341987
1001046,200
1001047,239.9058361
1001050,217.6667612
1001051,217.6667612
1001052,179.8116723
1001053,239.9058361
1001054,514.1982908
1001055,514.1982908
1001056,359.6233445
1001057,324.1341987
1001058,199.6848042
1001060,217.6667612
1001061,514.1982908
1001063,514.1982908
1001064,217.6667612
1001068,217.6667612
1001069,179.8116723
1001070,359.6233445
1001071,179.8116723
1001073,359.6233445
1001074,253.155907
1001075,324.1341987
1001076,359.6233445
1001077,359.6233445
1001078,359.6233445
1001079,359.6233445
1001080,359.6233445
1001081,324.1341987
1001082,199.6848042
1001083,179.8116723
1001084,217.6667612
1001085,179.8116723
1001086,217.6667612
1001087,179.8116723
1001088,217.6667612
1001089,359.6233445
1001090,359.6233445
1001091,253.155907
1001092,199.6848042
1001093,199.6848042
1001094,359.6233445
1001095,359.6233445
1001096,253.155907
1001097,179.8116723
1001098,217.6667612
1001099,179.8116723
1001100,217.6667612
1001102,217.6667612
1001103,253.155907
1001104,199.6848042
1001105,514.1982908
1001106,217.6667612
1001108,179.8116723
1001109,179.8116723
1001110,200
1001111,179.8116723
1001112,179.8116723
1001113,514.1982908
1001115,217.6667612
1001116,179.8116723
1001126,253.155907
1001127,217.6667612
1001128,200
1001129,179.8116723
1001130,179.8116723
1001131,324.1341987
1001133,1618.30505
1001134,179.8116723
1001135,179.8116723
1001136,253.155907
1001137,217.6667612
1001139,141.9565834
1001140,359.6233445
1001141,359.6233445
1001142,217.6667612
1001143,217.6667612
1001159,200
1001162,217.6667612
1001163,217.6667612
1001164,324.1341987
1001165,359.6233445
1001167,179.8116723
1001168,200
1001169,217.6667612
1001170,179.8116723
1001172,217.6667612
1001173,217.6667612
1001176,179.8116723
1001177,253.155907
1001178,179.8116723
1001179,179.8116723
1001184,359.6233445
1001185,253.155907
1001186,179.8116723
1001187,179.8116723
1001188,217.6667612
1001189,246.0580778
1001191,199.6848042
1001192,253.155907
1001193,217.6667612
1001195,261.8310315
1001196,217.6667612
1001197,217.6667612
1001198,217.6667612
1001199,217.6667612
1001200,217.6667612
1001201,217.6667612
1001202,199.6848042
1001203,359.6233445
1001204,179.8116723
1001205,217.6667612
1001206,179.8116723
1001207,324.1341987
1001208,200
1001212,324.1341987
1001213,200
1001214,253.155907
1001215,217.6667612
1001216,217.6667612
1001217,179.8116723
1001218,200
1001223,324.1341987
1001224,217.6667612
1001226,217.6667612
1001227,179.8116723
1001231,200
1001242,179.8116723
1001243,324.1341987
1001244,359.6233445
1001245,179.8116723
1001249,217.6667612
1001250,324.1341987
1001251,324.1341987
1001252,324.1341987
1001253,179.8116723
1001254,179.8116723
1001258,217.6667612
1001260,200
1001261,199.6848042
1001262,199.6848042
1001263,217.6667612
1001264,217.6667612
1001265,198.7392167
1001266,217.6667612
1001267,179.8116723
1001268,217.6667612
1001269,179.8116723
1001270,141.9565834
1001271,324.1341987
1001272,217.6667612
1001273,359.6233445
1001274,324.1341987
1001275,199.6848042
1001276,199.6848042
1001277,324.1341987
